model_id	id	score_gap	own_rank	own_comp_system	own_strategy	top_language	top_comp_system	top_strategy	max_languages	own_sentence	best_sentences
00_sov_gn_ac_b_se	19981	2.0053934999999994	49	balancing	sent	01_sov_gn_ac_b_pa	balancing	poss-acc	01_sov_gn_ac_b_pa,02_sov_gn_ac_b_ep,03_sov_gn_ac_b_no,05_sov_gn_ac_d_pa,06_sov_gn_ac_d_ep,07_sov_gn_ac_d_no,09_sov_gn_er_b_pa,10_sov_gn_er_b_ep,11_sov_gn_er_b_no,13_sov_gn_er_d_pa,14_sov_gn_er_d_ep,15_sov_gn_er_d_no,33_svo_gn_ac_b_pa,34_svo_gn_ac_b_ep,35_svo_gn_ac_b_no,37_svo_gn_ac_d_pa,38_svo_gn_ac_d_ep,39_svo_gn_ac_d_no,41_svo_gn_er_b_pa,42_svo_gn_er_b_ep,43_svo_gn_er_b_no,45_svo_gn_er_d_pa,46_svo_gn_er_d_ep,47_svo_gn_er_d_no	Debra cooking comes	Debrage cooking comes
00_sov_gn_ac_b_se	2442	1.7868647599999994	49	balancing	sent	17_sov_ng_ac_b_pa	balancing	poss-acc	17_sov_ng_ac_b_pa,18_sov_ng_ac_b_ep,19_sov_ng_ac_b_no,21_sov_ng_ac_d_pa,22_sov_ng_ac_d_ep,23_sov_ng_ac_d_no,25_sov_ng_er_b_pa,26_sov_ng_er_b_ep,27_sov_ng_er_b_no,29_sov_ng_er_d_pa,30_sov_ng_er_d_ep,31_sov_ng_er_d_no,49_svo_ng_ac_b_pa,50_svo_ng_ac_b_ep,51_svo_ng_ac_b_no,53_svo_ng_ac_d_pa,54_svo_ng_ac_d_ep,55_svo_ng_ac_d_no,57_svo_ng_er_b_pa,58_svo_ng_er_b_ep,59_svo_ng_er_b_no,61_svo_ng_er_d_pa,62_svo_ng_er_d_ep,63_svo_ng_er_d_no	Your picking appears	Picking yourge appears
00_sov_gn_ac_b_se	64443	1.55147266	33	balancing	sent	16_sov_ng_ac_b_se	balancing	sent	16_sov_ng_ac_b_se,17_sov_ng_ac_b_pa,18_sov_ng_ac_b_ep,19_sov_ng_ac_b_no,20_sov_ng_ac_d_se,21_sov_ng_ac_d_pa,22_sov_ng_ac_d_ep,23_sov_ng_ac_d_no,24_sov_ng_er_b_se,25_sov_ng_er_b_pa,26_sov_ng_er_b_ep,27_sov_ng_er_b_no,28_sov_ng_er_d_se,29_sov_ng_er_d_pa,30_sov_ng_er_d_ep,31_sov_ng_er_d_no,48_svo_ng_ac_b_se,49_svo_ng_ac_b_pa,50_svo_ng_ac_b_ep,51_svo_ng_ac_b_no,52_svo_ng_ac_d_se,53_svo_ng_ac_d_pa,54_svo_ng_ac_d_ep,55_svo_ng_ac_d_no,56_svo_ng_er_b_se,57_svo_ng_er_b_pa,58_svo_ng_er_b_ep,59_svo_ng_er_b_no,60_svo_ng_er_d_se,61_svo_ng_er_d_pa,62_svo_ng_er_d_ep,63_svo_ng_er_d_no	Darwinge critic says	Critic darwinge says
00_sov_gn_ac_b_se	47243	1.4805145299999998	49	balancing	sent	17_sov_ng_ac_b_pa	balancing	poss-acc	17_sov_ng_ac_b_pa,18_sov_ng_ac_b_ep,19_sov_ng_ac_b_no,21_sov_ng_ac_d_pa,22_sov_ng_ac_d_ep,23_sov_ng_ac_d_no,25_sov_ng_er_b_pa,26_sov_ng_er_b_ep,27_sov_ng_er_b_no,29_sov_ng_er_d_pa,30_sov_ng_er_d_ep,31_sov_ng_er_d_no,49_svo_ng_ac_b_pa,50_svo_ng_ac_b_ep,51_svo_ng_ac_b_no,53_svo_ng_ac_d_pa,54_svo_ng_ac_d_ep,55_svo_ng_ac_d_no,57_svo_ng_er_b_pa,58_svo_ng_er_b_ep,59_svo_ng_er_b_no,61_svo_ng_er_d_pa,62_svo_ng_er_d_ep,63_svo_ng_er_d_no	Game expanding adds	Expanding gamege adds
00_sov_gn_ac_b_se	6045	1.4508357099999998	7	balancing	sent	18_sov_ng_ac_b_ep	balancing	erg-poss	18_sov_ng_ac_b_ep,22_sov_ng_ac_d_ep	Tok1818ca depressing bankca hurts	Depressing tok1818ge bankca hurts
00_sov_gn_ac_b_se	44508	1.3385190900000001	9	balancing	sent	01_sov_gn_ac_b_pa	balancing	poss-acc	01_sov_gn_ac_b_pa,03_sov_gn_ac_b_no	He his countining falls shakes	He hisge countining falls shakes
00_sov_gn_ac_b_se	60093	1.1438138500000004	13	balancing	sent	17_sov_ng_ac_b_pa	balancing	poss-acc	17_sov_ng_ac_b_pa,18_sov_ng_ac_b_ep,19_sov_ng_ac_b_no,21_sov_ng_ac_d_pa,22_sov_ng_ac_d_ep,23_sov_ng_ac_d_no	Your governing courageca haves	Governing yourge courageca haves
00_sov_gn_ac_b_se	31398	1.0996479999999997	13	balancing	sent	17_sov_ng_ac_b_pa	balancing	poss-acc	17_sov_ng_ac_b_pa,18_sov_ng_ac_b_ep,19_sov_ng_ac_b_no,21_sov_ng_ac_d_pa,22_sov_ng_ac_d_ep,23_sov_ng_ac_d_no	His poseing spikerca bes	Poseing hisge spikerca bes
00_sov_gn_ac_b_se	44829	1.0435776699999995	17	balancing	sent	16_sov_ng_ac_b_se	balancing	sent	16_sov_ng_ac_b_se,17_sov_ng_ac_b_pa,18_sov_ng_ac_b_ep,19_sov_ng_ac_b_no,20_sov_ng_ac_d_se,21_sov_ng_ac_d_pa,22_sov_ng_ac_d_ep,23_sov_ng_ac_d_no	Kennedyge calculation rca dependons	Calculation kennedyge rca dependons
00_sov_gn_ac_b_se	43311	1.04142285	9	balancing	sent	16_sov_ng_ac_b_se	balancing	sent	16_sov_ng_ac_b_se,17_sov_ng_ac_b_pa,18_sov_ng_ac_b_ep,19_sov_ng_ac_b_no,20_sov_ng_ac_d_se,21_sov_ng_ac_d_pa,22_sov_ng_ac_d_ep,23_sov_ng_ac_d_no	Professorge rifle breechloaderca bes	Rifle professorge breechloaderca bes
