phenomenon	clause_wo	np_wo	alignment	n_languages	n_pairs	mean_accuracy_strict	bad_parse	bad_parse_rate
1_10_tran_V_valency	sov	gn	erg-abs	8	800	0.787500	752	0.940000
1_10_tran_V_valency	sov	gn	nom-acc	8	800	0.777500	752	0.940000
1_10_tran_V_valency	sov	ng	erg-abs	8	800	0.711250	752	0.940000
1_10_tran_V_valency	sov	ng	nom-acc	8	800	0.755000	752	0.940000
1_10_tran_V_valency	svo	gn	erg-abs	8	800	0.767500	752	0.940000
1_10_tran_V_valency	svo	gn	nom-acc	8	800	0.808750	752	0.940000
1_10_tran_V_valency	svo	ng	erg-abs	8	800	0.738750	752	0.940000
1_10_tran_V_valency	svo	ng	nom-acc	8	800	0.833750	752	0.940000
1_10_tran_V_valency	vos	gn	erg-abs	8	800	0.738750	752	0.940000
1_10_tran_V_valency	vos	gn	nom-acc	8	800	0.700000	752	0.940000
1_10_tran_V_valency	vos	ng	erg-abs	8	800	0.778750	752	0.940000
1_10_tran_V_valency	vos	ng	nom-acc	8	800	0.716250	752	0.940000
1_1_intran_V_form	sov	gn	erg-abs	8	800	1.000000	0	0.000000
1_1_intran_V_form	sov	gn	nom-acc	8	800	1.000000	0	0.000000
1_1_intran_V_form	sov	ng	erg-abs	8	800	1.000000	0	0.000000
1_1_intran_V_form	sov	ng	nom-acc	8	800	1.000000	0	0.000000
1_1_intran_V_form	svo	gn	erg-abs	8	800	0.980000	0	0.000000
1_1_intran_V_form	svo	gn	nom-acc	8	800	0.978750	0	0.000000
1_1_intran_V_form	svo	ng	erg-abs	8	800	0.993750	0	0.000000
1_1_intran_V_form	svo	ng	nom-acc	8	800	0.986250	0	0.000000
1_1_intran_V_form	vos	gn	erg-abs	8	800	1.000000	0	0.000000
1_1_intran_V_form	vos	gn	nom-acc	8	800	0.996250	0	0.000000
1_1_intran_V_form	vos	ng	erg-abs	8	800	1.000000	0	0.000000
1_1_intran_V_form	vos	ng	nom-acc	8	800	0.983750	0	0.000000
1_2_intran_S_marker	sov	gn	erg-abs	8	800	0.752500	24	0.030000
1_2_intran_S_marker	sov	gn	nom-acc	8	800	0.822500	32	0.040000
1_2_intran_S_marker	sov	ng	erg-abs	8	800	0.591250	32	0.040000
1_2_intran_S_marker	sov	ng	nom-acc	8	800	0.931250	24	0.030000
1_2_intran_S_marker	svo	gn	erg-abs	8	800	0.911250	24	0.030000
1_2_intran_S_marker	svo	gn	nom-acc	8	800	0.950000	24	0.030000
1_2_intran_S_marker	svo	ng	erg-abs	8	800	0.802500	24	0.030000
1_2_intran_S_marker	svo	ng	nom-acc	8	800	0.973750	24	0.030000
1_2_intran_S_marker	vos	gn	erg-abs	8	800	0.957500	32	0.040000
1_2_intran_S_marker	vos	gn	nom-acc	8	800	0.985000	24	0.030000
1_2_intran_S_marker	vos	ng	erg-abs	8	800	0.982500	24	0.030000
1_2_intran_S_marker	vos	ng	nom-acc	8	800	0.748750	32	0.040000
1_3_intran_SV_order	sov	gn	erg-abs	8	800	1.000000	0	0.000000
1_3_intran_SV_order	sov	gn	nom-acc	8	800	0.998750	0	0.000000
1_3_intran_SV_order	sov	ng	erg-abs	8	800	1.000000	0	0.000000
1_3_intran_SV_order	sov	ng	nom-acc	8	800	1.000000	0	0.000000
1_3_intran_SV_order	svo	gn	erg-abs	8	800	1.000000	0	0.000000
1_3_intran_SV_order	svo	gn	nom-acc	8	800	1.000000	0	0.000000
1_3_intran_SV_order	svo	ng	erg-abs	8	800	0.998750	0	0.000000
1_3_intran_SV_order	svo	ng	nom-acc	8	800	1.000000	0	0.000000
1_3_intran_SV_order	vos	gn	erg-abs	8	800	1.000000	0	0.000000
1_3_intran_SV_order	vos	gn	nom-acc	8	800	1.000000	0	0.000000
1_3_intran_SV_order	vos	ng	erg-abs	8	800	1.000000	0	0.000000
1_3_intran_SV_order	vos	ng	nom-acc	8	800	1.000000	0	0.000000
1_4_tran_V_form	sov	gn	erg-abs	8	800	1.000000	0	0.000000
1_4_tran_V_form	sov	gn	nom-acc	8	800	1.000000	0	0.000000
1_4_tran_V_form	sov	ng	erg-abs	8	800	1.000000	0	0.000000
1_4_tran_V_form	sov	ng	nom-acc	8	800	1.000000	0	0.000000
1_4_tran_V_form	svo	gn	erg-abs	8	800	0.987500	0	0.000000
1_4_tran_V_form	svo	gn	nom-acc	8	800	0.988750	0	0.000000
