group	label	param	source_param_value	target_param_value	fractional_error_mass	share_within_source_param_value
ALL	ALL	alignment_code	ac	ac	37408.868421052575	0.7244866548088069
ALL	ALL	alignment_code	ac	er	14226.131578947357	0.2755133451911963
ALL	ALL	alignment_code	er	ac	5694.8684210526535	0.10940729311174713
ALL	ALL	alignment_code	er	er	46357.13157894731	0.8905927068882535
ALL	ALL	anc_wo	ovs	ovs	543.4999999999999	0.05948992994746069
ALL	ALL	anc_wo	ovs	sov	6422.000000000001	0.702933450087567
ALL	ALL	anc_wo	ovs	svo	309.4999999999999	0.0338769702276708
ALL	ALL	anc_wo	ovs	vos	1861.0000000000007	0.20369964973730342
ALL	ALL	anc_wo	sov	ovs	8584.608333333334	0.24888693996675643
ALL	ALL	anc_wo	sov	sov	14167.802631578932	0.4107561936558906
ALL	ALL	anc_wo	sov	svo	2417.9473684210516	0.07010168643224689
ALL	ALL	anc_wo	sov	vos	9321.64166666667	0.27025517994510906
ALL	ALL	anc_wo	svo	ovs	298.2083333333333	0.012283068347200454
ALL	ALL	anc_wo	svo	sov	7215.778508771935	0.2972147009132514
ALL	ALL	anc_wo	svo	svo	5950.596491228075	0.24510241746552686
ALL	ALL	anc_wo	svo	vos	10813.416666666672	0.4453998132740195
ALL	ALL	anc_wo	vos	ovs	664.5333333333316	0.018572240388287937
ALL	ALL	anc_wo	vos	sov	8434.500000000002	0.2357256644587907
ALL	ALL	anc_wo	vos	svo	9971.625000000005	0.2786849165758361
ALL	ALL	anc_wo	vos	vos	16710.34166666665	0.4670171785770835
ALL	ALL	clause_wo	sov	sov	38889.126315789355	0.9079456087922463
ALL	ALL	clause_wo	sov	svo	1362.8736842105268	0.031819053142756154
ALL	ALL	clause_wo	sov	vos	2580.0000000000005	0.06023533806499836
ALL	ALL	clause_wo	svo	sov	1493.7342105263176	0.052956153101227144
ALL	ALL	clause_wo	svo	svo	19841.2657894737	0.7034163785398536
ALL	ALL	clause_wo	svo	vos	6872.0000000000055	0.2436274683589176
ALL	ALL	clause_wo	vos	sov	433.00000000000045	0.013262680715510872
ALL	ALL	clause_wo	vos	svo	644.9999999999995	0.019756187209017315
ALL	ALL	clause_wo	vos	vos	31570.000000000062	0.9669811320754702
ALL	ALL	comp_system_code	b	b	27533.46491228074	0.5561754350526369
ALL	ALL	comp_system_code	b	d	21971.535087719305	0.4438245649473658
ALL	ALL	comp_system_code	d	b	26174.71491228076	0.48308875479459734
ALL	ALL	comp_system_code	d	d	28007.28508771938	0.5169112452054095
ALL	ALL	np_wo	gn	gn	24886.166666666726	0.47148071664488067
ALL	ALL	np_wo	gn	ng	27896.833333333245	0.5285192833551192
ALL	ALL	np_wo	ng	gn	28643.416666666693	0.562694811147784
ALL	ALL	np_wo	ng	ng	22260.583333333365	0.43730518885222075
ALL	ALL	strategy_code	ep	ep	4577.639473684214	0.2406117988795909
ALL	ALL	strategy_code	ep	no	4909.0552631579	0.25803181409502773
ALL	ALL	strategy_code	ep	pa	5058.055263157901	0.2658636143578399
ALL	ALL	strategy_code	ep	se	4480.25	0.23549277266754284
ALL	ALL	strategy_code	no	ep	7890.583333333333	0.3675680501855551
ALL	ALL	strategy_code	no	no	4355.5833333333385	0.20289669415071163
ALL	ALL	strategy_code	no	pa	4496.583333333339	0.20946491514106896
ALL	ALL	strategy_code	no	se	4724.25	0.22007034052266208
ALL	ALL	strategy_code	pa	ep	11481.5	0.4436780276682893
ALL	ALL	strategy_code	pa	no	4459.5	0.17232784604683501
ALL	ALL	strategy_code	pa	pa	4694.5	0.18140891877270252
ALL	ALL	strategy_code	pa	se	5242.5	0.20258520751217232
ALL	ALL	strategy_code	se	ep	12853.65614035087	0.3444450556140871
ALL	ALL	strategy_code	se	no	9529.671929824572	0.25537079427136655
ALL	ALL	strategy_code	se	pa	10341.171929824577	0.2771169153421924
ALL	ALL	strategy_code	se	se	4592.500000000001	0.12306723477235598
anc_bucket	arg	alignment_code	ac	ac	15782.368421052608	0.9481177712995696
anc_bucket	arg	alignment_code	ac	er	863.6315789473686	0.05188222870043074
anc_bucket	arg	alignment_code	er	ac	1069.8684210526308	0.04904728469502718
anc_bucket	arg	alignment_code	er	er	20743.131578947403	0.9509527153049717
anc_bucket	arg	anc_wo	ovs	ovs	75.50000000000004	0.029105628373168848
anc_bucket	arg	anc_wo	ovs	sov	1356.9999999999989	0.5231303006939082
anc_bucket	arg	anc_wo	ovs	svo	52.49999999999999	0.020239013107170377
anc_bucket	arg	anc_wo	ovs	vos	1109.0000000000005	0.4275250578257516
anc_bucket	arg	anc_wo	sov	ovs	2510.9833333333363	0.2109360999103941
anc_bucket	arg	anc_wo	sov	sov	6023.802631578961	0.5060318070882854
anc_bucket	arg	anc_wo	sov	svo	736.4473684210525	0.061865538341822165
anc_bucket	arg	anc_wo	sov	vos	2632.766666666672	0.2211665546594982
anc_bucket	arg	anc_wo	svo	ovs	99.58333333333341	0.008737679506302847
anc_bucket	arg	anc_wo	svo	sov	5260.4035087719285	0.46156036753285384
anc_bucket	arg	anc_wo	svo	svo	2445.3464912280774	0.21456054147829082
anc_bucket	arg	anc_wo	svo	vos	3591.666666666665	0.31514141148255415
anc_bucket	arg	anc_wo	vos	ovs	317.5333333333342	0.02527326753687798
anc_bucket	arg	anc_wo	vos	sov	2367.000000000002	0.18839541547277996
anc_bucket	arg	anc_wo	vos	svo	2561.249999999999	0.20385625596943688
anc_bucket	arg	anc_wo	vos	vos	7318.216666666679	0.5824750610209086
anc_bucket	arg	clause_wo	sov	sov	13973.62631578948	0.9699865553095558
anc_bucket	arg	clause_wo	sov	svo	409.3736842105262	0.02841688770030027
anc_bucket	arg	clause_wo	sov	vos	23.000000000000004	0.0015965569901429941
anc_bucket	arg	clause_wo	svo	sov	372.73421052631693	0.03185762483130923
anc_bucket	arg	clause_wo	svo	svo	11145.265789473686	0.9525868196131382
anc_bucket	arg	clause_wo	svo	vos	181.9999999999997	0.015555555555555572
anc_bucket	arg	clause_wo	vos	sov	11.999999999999991	0.0009714239456002609
anc_bucket	arg	clause_wo	vos	svo	10.999999999999993	0.0008904719501335726
anc_bucket	arg	clause_wo	vos	vos	12329.999999999989	0.998138104104268
anc_bucket	arg	comp_system_code	b	b	11148.4649122807	0.5771621926009867
anc_bucket	arg	comp_system_code	b	d	8167.535087719304	0.4228378073990098
anc_bucket	arg	comp_system_code	d	b	8049.714912280712	0.4205043573254287
anc_bucket	arg	comp_system_code	d	d	11093.285087719307	0.5794956426745685
anc_bucket	arg	np_wo	gn	gn	15332.166666666732	0.7692622882277197
anc_bucket	arg	np_wo	gn	ng	4598.833333333336	0.2307377117722804
anc_bucket	arg	np_wo	ng	gn	4976.416666666675	0.26858898244099116
anc_bucket	arg	np_wo	ng	ng	13551.58333333329	0.7314110175590087
anc_bucket	arg	strategy_code	ep	ep	831.3894736842099	0.20784736842105225
anc_bucket	arg	strategy_code	ep	no	1167.8052631578944	0.2919513157894733
anc_bucket	arg	strategy_code	ep	pa	1289.3052631578944	0.3223263157894733
anc_bucket	arg	strategy_code	ep	se	711.5	0.1778749999999998
anc_bucket	arg	strategy_code	no	ep	3773.8333333333303	0.6564330028410712
anc_bucket	arg	strategy_code	no	no	464.83333333333326	0.0808546413869076
anc_bucket	arg	strategy_code	no	pa	641.333333333333	0.11155563286368603
anc_bucket	arg	strategy_code	no	se	869.0	0.1511567229083314
anc_bucket	arg	strategy_code	pa	ep	6938.000000000002	0.7778026905829589
anc_bucket	arg	strategy_code	pa	no	329.0000000000001	0.03688340807174885
anc_bucket	arg	strategy_code	pa	pa	552.4999999999997	0.06193946188340796
anc_bucket	arg	strategy_code	pa	se	1100.5	0.12337443946188326
anc_bucket	arg	strategy_code	se	ep	8323.65614035088	0.4205990975417305
anc_bucket	arg	strategy_code	se	no	5207.67192982457	0.2631466361710232
anc_bucket	arg	strategy_code	se	pa	6003.67192982458	0.3033689706834035
anc_bucket	arg	strategy_code	se	se	255.00000000000006	0.012885295603840274
anc_bucket	bare	alignment_code	ac	ac	1514.0	0.5199175824175825
anc_bucket	bare	alignment_code	ac	er	1398.0	0.4800824175824176
anc_bucket	bare	alignment_code	er	ac	266.5	0.11652820288587669
anc_bucket	bare	alignment_code	er	er	2020.5	0.8834717971141233
anc_bucket	bare	anc_wo	ovs	ovs	43.5	0.09216101694915255
anc_bucket	bare	anc_wo	ovs	sov	276.5	0.5858050847457628
anc_bucket	bare	anc_wo	ovs	svo	9.625	0.020391949152542374
anc_bucket	bare	anc_wo	ovs	vos	142.375	0.3016419491525424
anc_bucket	bare	anc_wo	sov	ovs	345.75	0.2417832167832168
anc_bucket	bare	anc_wo	sov	sov	576.375	0.40305944055944054
anc_bucket	bare	anc_wo	sov	svo	101.125	0.07071678321678322
anc_bucket	bare	anc_wo	sov	vos	406.75	0.28444055944055946
anc_bucket	bare	anc_wo	svo	ovs	14.125	0.00994718309859155
anc_bucket	bare	anc_wo	svo	sov	498.75	0.3512323943661972
anc_bucket	bare	anc_wo	svo	svo	298.25	0.21003521126760563
anc_bucket	bare	anc_wo	svo	vos	608.875	0.42878521126760566
anc_bucket	bare	anc_wo	vos	ovs	31.0	0.016515716568993075
anc_bucket	bare	anc_wo	vos	sov	385.5	0.20538092701118807
anc_bucket	bare	anc_wo	vos	svo	530.75	0.2827650506126798
anc_bucket	bare	anc_wo	vos	vos	929.75	0.49533830580713906
anc_bucket	bare	clause_wo	sov	sov	1664.0	0.9358830146231721
anc_bucket	bare	clause_wo	sov	svo	24.0	0.013498312710911136
anc_bucket	bare	clause_wo	sov	vos	90.0	0.05061867266591676
anc_bucket	bare	clause_wo	svo	sov	84.0	0.05112598904443092
