pair_id	good_source	bad_source	cv_stem	tv_foil_stem	cv_thatS_mean	tv_NPVNP_mean	tv_thatS_mean	embedded_type	mega_cv_example	mega_tv_example
1	The reporter writes that the child laughed.	The reporter weighs that the child laughed.	write	weigh	7.000	7.000	2.600	iv	Someone wrote that something happened.	Someone weighed something.
2	The teacher brags that the train arrived.	The teacher grills that the train arrived.	brag	grill	7.000	6.929	3.800	iv	Someone bragged that something happened.	Someone was grilling something.
3	The manager doubts that a student slept.	The manager crushes that a student slept.	doubt	crush	6.933	6.867	3.000	iv	Someone doubted that something happened.	Someone crushed something.
4	The neighbor accepts that the driver waited.	The neighbor mails that the driver waited.	accept	mail	6.933	6.867	3.600	iv	Someone accepted that something happened.	Someone mailed something.
5	The nurse swears that the dog barked.	The nurse arranges that the dog barked.	swear	arrange	6.867	6.867	3.800	iv	Someone swore that something happened.	Someone arranged something.
6	The doctor pretends that the baby cried.	The doctor shatters that the baby cried.	pretend	shatter	6.867	6.800	2.000	iv	Someone pretended that something happened.	Someone shattered something.
7	The clerk murmurs that the guests left.	The clerk pursues that the guests left.	murmur	pursue	6.867	6.800	2.000	iv	Someone murmured that something happened.	Someone pursued something.
8	The student guesses that the doorbell rang.	The student pauses that the doorbell rang.	guess	pause	6.867	6.800	3.000	iv	Someone guessed that something happened.	Someone paused something.
9	The parent ensures that the team rested.	The parent censors that the team rested.	ensure	censor	6.867	6.800	3.200	iv	Someone ensured that something happened.	Someone censored something.
10	The coach dreams that the patient coughed.	The coach presses that the patient coughed.	dream	press	6.857	6.800	3.400	iv	Someone dreamt that something happened.	Someone pressed something.
11	The officer posts that the bird flew.	The officer worships that the bird flew.	post	worship	6.800	6.733	2.600	iv	Someone posted that something happened.	Someone worshipped something.
12	The worker confirms that the crowd moved.	The worker controls that the crowd moved.	confirm	control	6.800	6.733	2.800	iv	Someone confirmed that something happened.	Someone controlled something.
13	The analyst complains that the water rose.	The analyst sanctions that the water rose.	complain	sanction	6.800	6.733	3.200	iv	Someone complained that something happened.	Someone sanctioned something.
14	The editor announces that a customer smiled.	The editor designs that a customer smiled.	announce	design	6.800	6.733	3.200	iv	Someone announced that something happened.	Someone designed something.
15	The guide acknowledges that the engine stopped.	The guide corrects that the engine stopped.	acknowledge	correct	6.800	6.733	3.200	iv	Someone acknowledged that something happened.	Someone corrected something.
16	The assistant yells that the senator spoke.	The assistant negotiates that the senator spoke.	yell	negotiate	6.733	6.733	3.600	iv	Someone yelled that something happened.	Someone negotiated something.
17	The principal whispers that the child fell.	The principal directs that the child fell.	whisper	direct	6.733	6.733	3.800	iv	Someone whispered that something happened.	Someone directed something.
18	The researcher says that the player stayed.	The researcher tackles that the player stayed.	say	tackle	6.733	6.667	1.200	iv	Someone said that something happened.	Someone tackled something.
19	The captain reveals that the phone rang.	The captain audits that the phone rang.	reveal	audit	6.733	6.667	1.800	iv	Someone revealed that something happened.	Someone audited something.
20	The guard reads that the meeting ended.	The guard draws that the meeting ended.	read	draw	6.733	6.667	2.400	iv	Someone read that something happened.	Someone drew something.
21	The lawyer overhears that the witness waited.	The lawyer mocks that the witness waited.	overhear	mock	6.733	6.667	3.200	iv	Someone overheard that something happened.	Someone mocked something.
22	The banker mentions that the cat slept.	The banker renegotiates that the cat slept.	mention	renegotiate	6.733	6.667	3.800	iv	Someone mentioned that something happened.	Someone renegotiated something.
23	The host infers that the room emptied.	The host prepares that the room emptied.	infer	prepare	6.733	6.600	2.400	iv	Someone inferred that something happened.	Someone prepared something.
24	The caller imagines that the alarm sounded.	The caller finishes that the alarm sounded.	imagine	finish	6.733	6.600	2.400	iv	Someone imagined that something happened.	Someone finished something.
25	The witness admits that the market changed.	The witness labels that the market changed.	admit	label	6.733	6.600	2.600	iv	Someone admitted that something happened.	Someone labelled something.
26	The director replies that the sample cooled.	The director grasps that the sample cooled.	reply	grasp	6.667	6.600	2.600	iv	Someone replied that something happened.	Someone grasped something.
27	The scientist observes that the price fell.	The scientist appraises that the price fell.	observe	appraise	6.667	6.600	2.800	iv	Someone observed that something happened.	Someone appraised something.
28	The driver jokes that the baby sneezed.	The driver signs that the baby sneezed.	joke	sign	6.667	6.600	3.000	iv	Someone joked that something happened.	Someone signed something.
29	The chief documents that the visitors arrived.	The chief picks that the visitors arrived.	document	pick	6.667	6.600	3.200	iv	Someone documented that something happened.	Someone picked something.
30	The friend assumes that the staff rested.	The friend classifies that the staff rested.	assume	classify	6.667	6.600	3.400	iv	Someone assumed that something happened.	Someone classified something.
31	Maria agrees that the audience laughed.	Maria reexamines that the audience laughed.	agree	reexamine	6.667	6.600	3.600	iv	Someone agreed that something happened.	Someone reexamined something.
32	James remembers that the bus stopped.	James summons that the bus stopped.	remember	summon	6.643	6.533	1.400	iv	Someone remembered that something happened.	Someone summoned something.
33	Maya concurs that the boy ran.	Maya influences that the boy ran.	concur	influence	6.643	6.533	1.600	iv	Someone concurred that something happened.	Someone influenced something.
34	Daniel wishes that the economy grew.	Daniel raises that the economy grew.	wish	raise	6.600	6.533	1.800	iv	Someone wished that something happened.	Someone raised something.
35	Emma states that the machine failed.	Emma moves that the machine failed.	state	move	6.600	6.533	1.800	iv	Someone stated that something happened.	Someone moved something.
36	Noah shouts that the plan worked.	Noah examines that the plan worked.	shout	examine	6.600	6.533	2.600	iv	Someone shouted that something happened.	Someone examined something.
37	Olivia presumes that the story spread.	Olivia coaches that the story spread.	presume	coach	6.600	6.533	3.000	iv	Someone presumed that something happened.	Someone coached something.
38	Sophia indicates that the shop closed.	Sophia chooses that the shop closed.	indicate	choose	6.600	6.533	3.000	iv	Someone indicated that something happened.	Someone chose something.
39	Liam implies that the tourists waited.	Liam respects that the tourists waited.	imply	respect	6.600	6.533	3.400	iv	Someone implied that something happened.	Someone respected something.
40	Grace contemplates that the class listened.	Grace opposes that the class listened.	contemplate	oppose	6.600	6.533	3.400	iv	Someone contemplated that something happened.	Someone opposed something.
41	The reporter conceals that the child nodded.	The reporter files that the child nodded.	conceal	file	6.600	6.533	3.400	iv	Someone concealed that something happened.	Someone filed something.
