row_id	source_uid	pair_id	use_for	good_stem	bad_stem	sentence_good	sentence_bad	lexically_identical
1	intransitive	0	1.9_intran_V_valency	yawn	walkthrough	Todd can't yawn.	Todd can't walk through.	false
2	intransitive	1	1.9_intran_V_valency	leave	boastabout	Some guests hadn't left.	Some guests hadn't boasted about.	false
3	intransitive	3	1.9_intran_V_valency	shout	boastabout	Regina is shouting.	Regina is boasting about.	false
4	intransitive	4	1.9_intran_V_valency	complain	wear	This guest's plumber complains.	This guest's plumber wore.	false
5	intransitive	5	1.9_intran_V_valency	benefit	argueabout	Anna's grandmothers aren't benefiting.	Anna's grandmothers aren't arguing about.	false
6	intransitive	6	1.9_intran_V_valency	vaporize	scare	Some glaciers are vaporizing.	Some glaciers are scaring.	false
7	intransitive	7	1.9_intran_V_valency	succeed	boastabout	Stephanie succeeds.	Stephanie boasts about.	false
8	intransitive	8	1.9_intran_V_valency	scream	driveto	Tara's contractors scream.	Tara's contractors drive to.	false
9	intransitive	9	1.9_intran_V_valency	crumple	looklike	All gloves weren't crumpling.	All gloves weren't looking like.	false
10	intransitive	10	1.9_intran_V_valency	cook	goto	Patricia's hairdressers hadn't cooked.	Patricia's hairdressers hadn't gone to.	false
11	intransitive	12	1.9_intran_V_valency	scorch	scare	The muffins were scorching.	The muffins were scaring.	false
12	intransitive	13	1.9_intran_V_valency	paint	walkthrough	Those friends of Sally were painting.	Those friends of Sally were walking through.	false
13	intransitive	14	1.9_intran_V_valency	brighten	resemble	This screen does brighten.	This screen does resemble.	false
14	intransitive	15	1.9_intran_V_valency	succeed	scare	Danielle's podiatrists were succeeding.	Danielle's podiatrists were scaring.	false
15	intransitive	16	1.9_intran_V_valency	collaborate	goto	A lot of cashiers should collaborate.	A lot of cashiers should go to.	false
16	intransitive	17	1.9_intran_V_valency	blacken	resemble	The pepper blackened.	The pepper resembles.	false
17	intransitive	19	1.9_intran_V_valency	die	arriveat	Guy's French teachers die.	Guy's French teachers arrived at.	false
18	intransitive	20	1.9_intran_V_valency	crumple	scare	This shirt crumples.	This shirt scares.	false
19	intransitive	21	1.9_intran_V_valency	fall	resemble	Some cup falls apart.	Some cup resembles.	false
20	intransitive	22	1.9_intran_V_valency	clash	arriveat	All grandmothers of Bill hadn't clashed.	All grandmothers of Bill hadn't arrived at.	false
21	intransitive	23	1.9_intran_V_valency	chip	scare	Some convertible is chipping.	Some convertible is scaring.	false
22	intransitive	25	1.9_intran_V_valency	cooperate	boastabout	These grandfathers of Ella cooperated.	These grandfathers of Ella boast about.	false
23	intransitive	26	1.9_intran_V_valency	dim	looklike	Most spotlights had dimmed.	Most spotlights had looked like.	false
24	intransitive	27	1.9_intran_V_valency	learn	dislike	Keith learns.	Keith disliked.	false
25	intransitive	28	1.9_intran_V_valency	donate	conceal	Andrea has donated.	Andrea has concealed.	false
26	intransitive	29	1.9_intran_V_valency	hunt	examine	Some sisters of Laurie weren't hunting.	Some sisters of Laurie weren't examining.	false
27	intransitive	30	1.9_intran_V_valency	argue	looklike	Brian argued.	Brian looked like.	false
28	intransitive	31	1.9_intran_V_valency	embrace	respect	Many teachers embrace.	Many teachers respected.	false
29	intransitive	32	1.9_intran_V_valency	depart	cure	Larry departs.	Larry cured.	false
30	intransitive	35	1.9_intran_V_valency	fall	conceal	The waitresses haven't fallen asleep.	The waitresses haven't concealed.	false
31	intransitive	36	1.9_intran_V_valency	murmur	goto	Bethany murmured.	Bethany goes to.	false
32	intransitive	38	1.9_intran_V_valency	shatter	looklike	Some wheelbarrow shattered.	Some wheelbarrow looked like.	false
33	intransitive	39	1.9_intran_V_valency	lie	examine	The dancer's daughters lie.	The dancer's daughters examined.	false
34	intransitive	40	1.9_intran_V_valency	compete	conceal	The companies haven't competed.	The companies haven't concealed.	false
35	intransitive	41	1.9_intran_V_valency	wakeup	returnto	Kimberley wakes up.	Kimberley returned to.	false
36	intransitive	42	1.9_intran_V_valency	kiss	examine	Some people's tutors were kissing.	Some people's tutors were examining.	false
37	intransitive	43	1.9_intran_V_valency	concur	carefor	Nicole concurred.	Nicole cared for.	false
38	intransitive	44	1.9_intran_V_valency	blink	boastabout	The student has blinked.	The student has boasted about.	false
39	intransitive	45	1.9_intran_V_valency	die	argueabout	Donna shouldn't die.	Donna shouldn't argue about.	false
40	intransitive	46	1.9_intran_V_valency	play	cure	Lori plays.	Lori cured.	false
41	intransitive	47	1.9_intran_V_valency	answer	reveal	A son of Andrea answered.	A son of Andrea reveals.	false
42	intransitive	48	1.9_intran_V_valency	debate	respect	Most organizations couldn't debate.	Most organizations couldn't respect.	false
43	intransitive	49	1.9_intran_V_valency	assemble	dislike	Helen's associates assemble.	Helen's associates disliked.	false
44	intransitive	50	1.9_intran_V_valency	litter	escapefrom	Alice littered.	Alice escaped from.	false
45	intransitive	51	1.9_intran_V_valency	donate	driveto	Robert's ex-wives donate.	Robert's ex-wives drive to.	false
46	intransitive	52	1.9_intran_V_valency	negotiate	goto	A lot of doctors negotiated.	A lot of doctors go to.	false
47	intransitive	53	1.9_intran_V_valency	rot	resemble	That pepper rotted.	That pepper resembles.	false
48	intransitive	55	1.9_intran_V_valency	protest	conceal	A child's tutor is protesting.	A child's tutor is concealing.	false
49	intransitive	56	1.9_intran_V_valency	darken	looklike	The lamps hadn't darkened.	The lamps hadn't looked like.	false
50	intransitive	57	1.9_intran_V_valency	drink	goto	Many adults drink.	Many adults go to.	false
51	intransitive	58	1.9_intran_V_valency	sitdown	arriveat	Kimberley does sit down.	Kimberley does arrive at.	false
52	intransitive	59	1.9_intran_V_valency	lie	complainabout	The Borgias won't lie.	The Borgias won't complain about.	false
53	intransitive	60	1.9_intran_V_valency	move	listento	A lot of teachers had moved.	A lot of teachers had listened to.	false
54	intransitive	208	1.9_intran_V_valency	wash	talkabout	Jennifer washes.	Jennifer talks about.	false
55	intransitive	63	1.9_intran_V_valency	murmur	examine	Some nephews of Jodi hadn't murmured.	Some nephews of Jodi hadn't examined.	false
56	intransitive	64	1.9_intran_V_valency	salute	goto	Robert has saluted.	Robert has gone to.	false
57	intransitive	65	1.9_intran_V_valency	warp	scare	This shirt wasn't warping.	This shirt wasn't scaring.	false
58	intransitive	66	1.9_intran_V_valency	wakeup	scare	This hamster isn't waking up.	This hamster isn't scaring.	false
59	intransitive	68	1.9_intran_V_valency	answer	talkabout	Karen isn't answering.	Karen isn't talking about.	false
60	intransitive	69	1.9_intran_V_valency	tighten	resemble	A lot of hats tighten.	A lot of hats resembled.	false
61	intransitive	70	1.9_intran_V_valency	reply	arriveat	Andrea's nephews have replied.	Andrea's nephews have arrived at.	false
62	intransitive	71	1.9_intran_V_valency	char	resemble	That spinach charred.	That spinach resembles.	false
63	intransitive	72	1.9_intran_V_valency	standup	arriveat	Matt's ex-boyfriend stands up.	Matt's ex-boyfriend arrived at.	false
64	intransitive	73	1.9_intran_V_valency	crumple	resemble	Many shoes crumpled.	Many shoes resembled.	false
65	intransitive	74	1.9_intran_V_valency	steer	scare	Many bicycles should steer.	Many bicycles should scare.	false
66	intransitive	75	1.9_intran_V_valency	blink	listento	Some grandmothers of Vincent have blinked.	Some grandmothers of Vincent have listened to.	false
67	intransitive	76	1.9_intran_V_valency	smile	admire	Anna's cousins might smile.	Anna's cousins might admire.	false
68	intransitive	77	1.9_intran_V_valency	darken	scare	This screen darkened.	This screen scares.	false
69	intransitive	78	1.9_intran_V_valency	fling	looklike	A closet flung open.	A closet looks like.	false
70	intransitive	79	1.9_intran_V_valency	smile	dropby	Wayne is smiling.	Wayne is dropping by.	false
71	intransitive	81	1.9_intran_V_valency	cough	lift	Beverly does cough.	Beverly does lift.	false
72	intransitive	82	1.9_intran_V_valency	hunt	talkabout	Grace hasn't hunted.	Grace hasn't talked about.	false
73	intransitive	83	1.9_intran_V_valency	sigh	complainabout	Tracy is sighing.	Tracy is complaining about.	false
74	intransitive	84	1.9_intran_V_valency	surrender	lift	Teachers hadn't surrendered.	Teachers hadn't lifted.	false
75	intransitive	85	1.9_intran_V_valency	meet	argueabout	The guests did meet.	The guests did argue about.	false
76	intransitive	86	1.9_intran_V_valency	conspire	returnto	Frank's cousins had conspired.	Frank's cousins had returned to.	false
77	intransitive	87	1.9_intran_V_valency	char	looklike	Some tomatoes aren't charring.	Some tomatoes aren't looking like.	false
78	intransitive	88	1.9_intran_V_valency	steer	looklike	Some skateboard should steer.	Some skateboard should look like.	false
79	intransitive	89	1.9_intran_V_valency	change	fire	The Borgias won't change.	The Borgias won't fire.	false
80	intransitive	91	1.9_intran_V_valency	hideaway	fire	A cousin of some waitresses would hide away.	A cousin of some waitresses would fire.	false
81	intransitive	93	1.9_intran_V_valency	struggle	looklike	Jason's supervisors hadn't struggled.	Jason's supervisors hadn't looked like.	false
82	intransitive	94	1.9_intran_V_valency	answer	listento	Kirsten was answering.	Kirsten was listening to.	false
83	intransitive	95	1.9_intran_V_valency	slow	scare	Some wheelbarrows are slowing.	Some wheelbarrows are scaring.	false
84	intransitive	97	1.9_intran_V_valency	wasteaway	workwith	These drivers hadn't wasted away.	These drivers hadn't worked with.	false
