pair_index	id	language	phenomenon_id	blimp_pair_id	good_score	bad_score	delta	correct	tie	good_stem	bad_stem	good	bad
1	67	92_vos_ng_er_d_se	1.10	70	-7.05070162	-6.93382883	-0.11687279	0	0	discuss	lie	Doctors' lawyer discussed the niece of Lucille.	Doctors' lawyer lies the niece of Lucille.
2	188	92_vos_ng_er_d_se	1.10	200	-5.65581417	-7.03380156	1.37798738	1	0	messup	smile	Bradley messed up some library.	Bradley smiles some library.
3	102	92_vos_ng_er_d_se	1.10	90	-6.18369341	-6.76579428	0.58210087	1	0	help	shrug	Many children's son helped Robert.	Many children's son shrugged Robert.
4	194	92_vos_ng_er_d_se	1.10	20	-7.25432491	-7.26088095	0.00655603	1	0	kiss	chuckle	April's mentees weren't kissing Matt's nephews.	April's mentees weren't chuckling Matt's nephews.
5	112	92_vos_ng_er_d_se	1.10	119	-6.72538328	-6.64225721	-0.08312607	0	0	have	disagree	That movie about the Lutherans had irritated Julia.	That movie about the Lutherans had disagreed Julia.
6	122	92_vos_ng_er_d_se	1.10	130	-5.50361919	-6.01448965	0.51087046	1	0	fleefrom	blink	Laurie was fleeing from most lakes.	Laurie was blinking most lakes.
7	14	92_vos_ng_er_d_se	1.10	14	-5.30987024	-5.28805637	-0.02181387	0	0	insult	sigh	A lot of girls' son hadn't insulted Jerry.	A lot of girls' son hadn't sighed Jerry.
8	3	92_vos_ng_er_d_se	1.10	3	-6.86113405	-7.07284832	0.21171427	1	0	argueabout	go	Rhonda was arguing about this nephew of Dana.	Rhonda was going fishing this nephew of Dana.
9	65	92_vos_ng_er_d_se	1.10	15	-6.01439524	-6.26469755	0.25030231	1	0	escapefrom	fall	Denise has escaped from Marie's grandsons.	Denise has fallen Marie's grandsons.
10	45	92_vos_ng_er_d_se	1.10	46	-6.87593126	-7.32050514	0.44457388	1	0	hurt	fall	Most schools hurt Marcus.	Most schools fall Marcus.
11	137	92_vos_ng_er_d_se	1.10	115	-7.01485157	-7.07604790	0.06119633	1	0	boastabout	conspire	These banks boasted about Eric's bosses.	These banks conspire Eric's bosses.
12	171	92_vos_ng_er_d_se	1.10	183	-5.73470974	-6.05429268	0.31958294	1	0	climbdown	jokearound	Teresa is climbing down some hills.	Teresa is joking around some hills.
13	129	92_vos_ng_er_d_se	1.10	78	-6.12165117	-5.83480358	-0.28684759	0	0	reference	compromise	Alicia wasn't referencing Victoria.	Alicia wasn't compromising Victoria.
14	77	92_vos_ng_er_d_se	1.10	80	-7.21459866	-6.97887707	-0.23572159	0	0	worry	chat	A girl's supervisors worries boys' son.	A girl's supervisors chatted boys' son.
15	159	92_vos_ng_er_d_se	1.10	5	-7.26297283	-7.23821926	-0.02475357	0	0	wear	slumpover	Debra wears many skirts.	Debra slumps over many skirts.
16	168	92_vos_ng_er_d_se	1.10	180	-6.44852638	-7.34232855	0.89380217	1	0	workwith	suffer	Some grandson of Frank works with Jeffrey.	Some grandson of Frank suffers Jeffrey.
17	46	92_vos_ng_er_d_se	1.10	47	-6.68474197	-7.39853191	0.71378994	1	0	know	react	Phillip knows Jill's senator.	Phillip reacts Jill's senator.
18	131	92_vos_ng_er_d_se	1.10	11	-5.99564791	-6.49957275	0.50392485	1	0	climbup	murmur	Most pedestrians' father might climb up the slope.	Most pedestrians' father might murmur the slope.
19	31	92_vos_ng_er_d_se	1.10	32	-5.54915905	-5.52025604	-0.02890301	0	0	escapefrom	talk	Robert hasn't escaped from Brenda.	Robert hasn't talked Brenda.
20	4	92_vos_ng_er_d_se	1.10	4	-6.82717466	-6.86947823	0.04230356	1	0	tour	cope	A lot of actresses' nieces have toured that art gallery.	A lot of actresses' nieces have coped that art gallery.
