row_id	source_uid	pair_id	use_for	good_stem	bad_stem	sentence_good	sentence_bad	lexically_identical
1	transitive	1	1.10_tran_V_valency	watch	scream	Diane watched Alan.	Diane screamed Alan.	false
2	transitive	2	1.10_tran_V_valency	buy	weep	This cousin of Theodore buys some mushroom.	This cousin of Theodore wept some mushroom.	false
3	transitive	3	1.10_tran_V_valency	argueabout	go	Rhonda was arguing about this nephew of Dana.	Rhonda was going fishing this nephew of Dana.	false
4	transitive	4	1.10_tran_V_valency	tour	cope	A lot of actresses' nieces have toured that art gallery.	A lot of actresses' nieces have coped that art gallery.	false
5	transitive	5	1.10_tran_V_valency	wear	slumpover	Debra wears many skirts.	Debra slumps over many skirts.	false
6	transitive	6	1.10_tran_V_valency	embarrass	scream	Chad's daughters embarrasses Erin's girlfriend.	Chad's daughters screamed Erin's girlfriend.	false
7	transitive	7	1.10_tran_V_valency	criticize	shrug	Elaine criticized Jill.	Elaine shrugs Jill.	false
8	transitive	8	1.10_tran_V_valency	question	wave	The pedestrians question some people.	The pedestrians wave some people.	false
9	transitive	9	1.10_tran_V_valency	goto	smile	Vanessa has gone to a lot of college campuses.	Vanessa has smiled a lot of college campuses.	false
10	transitive	10	1.10_tran_V_valency	listento	react	Those committees listened to Kristen.	Those committees react Kristen.	false
11	transitive	11	1.10_tran_V_valency	climbup	murmur	Most pedestrians' father might climb up the slope.	Most pedestrians' father might murmur the slope.	false
12	transitive	12	1.10_tran_V_valency	scan	murmur	Theresa shouldn't scan this essay.	Theresa shouldn't murmur this essay.	false
13	transitive	13	1.10_tran_V_valency	tour	cry	Andrea's ex-husbands toured this art gallery.	Andrea's ex-husbands cry this art gallery.	false
14	transitive	14	1.10_tran_V_valency	insult	sigh	A lot of girls' son hadn't insulted Jerry.	A lot of girls' son hadn't sighed Jerry.	false
15	transitive	15	1.10_tran_V_valency	escapefrom	fall	Denise has escaped from Marie's grandsons.	Denise has fallen Marie's grandsons.	false
16	transitive	16	1.10_tran_V_valency	investigate	go	Grace is investigating a lot of girls' ex-wife.	Grace is going fishing a lot of girls' ex-wife.	false
