pair_index	id	language	phenomenon_id	blimp_pair_id	good_score	bad_score	delta	correct	tie	good_stem	bad_stem	good	bad
1	111	87_vos_ng_ac_d_no	1.9	7	-5.93400717	-6.59823275	0.66422558	1	0	succeed	boastabout	Stephanie succeeds.	Stephanie boasts about.
2	43	87_vos_ng_ac_d_no	1.9	49	-6.06380320	-6.03565836	-0.02814484	0	0	assemble	dislike	Helen's associates assemble.	Helen's associates disliked.
3	3	87_vos_ng_ac_d_no	1.9	3	-5.74336624	-6.51400137	0.77063513	1	0	shout	boastabout	Regina is shouting.	Regina is boasting about.
4	159	87_vos_ng_ac_d_no	1.9	98	-5.13984251	-4.62389278	-0.51594973	0	0	exist	scare	This bike is existing.	This bike is scaring.
5	130	87_vos_ng_ac_d_no	1.9	151	-5.06588554	-5.97350550	0.90761995	1	0	perform	biketo	Claire had performed.	Claire had biked to.
6	13	87_vos_ng_ac_d_no	1.9	14	-6.58051634	-6.73588228	0.15536594	1	0	brighten	resemble	This screen does brighten.	This screen does resemble.
7	14	87_vos_ng_ac_d_no	1.9	15	-8.06548786	-7.42348337	-0.64200449	0	0	succeed	scare	Danielle's podiatrists were succeeding.	Danielle's podiatrists were scaring.
8	129	87_vos_ng_ac_d_no	1.9	149	-5.96755457	-4.72038507	-1.24716949	0	0	brighten	looklike	This candle won't brighten.	This candle won't look like.
9	70	87_vos_ng_ac_d_no	1.9	76	-5.84427547	-6.26098776	0.41671228	1	0	smile	admire	Anna's cousins might smile.	Anna's cousins might admire.
10	4	87_vos_ng_ac_d_no	1.9	4	-6.46639013	-6.52232742	0.05593729	1	0	complain	wear	This guest's plumber complains.	This guest's plumber wore.
11	188	87_vos_ng_ac_d_no	1.9	58	-5.38727283	-6.43605709	1.04878426	1	0	sitdown	arriveat	Kimberley does sit down.	Kimberley does arrive at.
12	31	87_vos_ng_ac_d_no	1.9	36	-5.07415724	-5.25169325	0.17753601	1	0	murmur	goto	Bethany murmured.	Bethany goes to.
13	168	87_vos_ng_ac_d_no	1.9	238	-6.25565386	-5.88270807	-0.37294579	0	0	nod	fire	Kathleen can nod.	Kathleen can fire.
14	172	87_vos_ng_ac_d_no	1.9	193	-5.89607143	-5.67557812	-0.22049332	0	0	vanish	talkto	Marla's ex-girlfriends vanish.	Marla's ex-girlfriends talked to.
15	16	87_vos_ng_ac_d_no	1.9	17	-5.91328478	-6.44830227	0.53501749	1	0	blacken	resemble	The pepper blackened.	The pepper resembles.
16	162	87_vos_ng_ac_d_no	1.9	30	-6.12072515	-5.07200813	-1.04871702	0	0	argue	looklike	Brian argued.	Brian looked like.
17	37	87_vos_ng_ac_d_no	1.9	43	-5.77966928	-5.28835726	-0.49131203	0	0	concur	carefor	Nicole concurred.	Nicole cared for.
18	136	87_vos_ng_ac_d_no	1.9	119	-5.74972200	-5.05655718	-0.69316483	0	0	shut	looklike	Those doors shut.	Those doors look like.
19	45	87_vos_ng_ac_d_no	1.9	28	-5.76025820	-5.75410843	-0.00614977	0	0	donate	conceal	Andrea has donated.	Andrea has concealed.
20	6	87_vos_ng_ac_d_no	1.9	6	-5.95221281	-5.59831858	-0.35389423	0	0	vaporize	scare	Some glaciers are vaporizing.	Some glaciers are scaring.
21	54	87_vos_ng_ac_d_no	1.9	208	-5.51439095	-5.64790058	0.13350964	1	0	wash	talkabout	Jennifer washes.	Jennifer talks about.
22	85	87_vos_ng_ac_d_no	1.9	114	-5.71951485	-5.42013788	-0.29937696	0	0	exist	soundlike	Sarah's brother exists.	Sarah's brother sounds like.
23	81	87_vos_ng_ac_d_no	1.9	93	-7.15460920	-6.35514784	-0.79946136	0	0	struggle	looklike	Jason's supervisors hadn't struggled.	Jason's supervisors hadn't looked like.
24	65	87_vos_ng_ac_d_no	1.9	74	-6.96951294	-6.83106089	-0.13845205	0	0	steer	scare	Many bicycles should steer.	Many bicycles should scare.
25	74	87_vos_ng_ac_d_no	1.9	84	-5.51818180	-5.46505737	-0.05312443	0	0	surrender	lift	Teachers hadn't surrendered.	Teachers hadn't lifted.
26	38	87_vos_ng_ac_d_no	1.9	44	-5.72671747	-5.65986967	-0.06684780	0	0	blink	boastabout	The student has blinked.	The student has boasted about.
27	128	87_vos_ng_ac_d_no	1.9	52	-5.22569990	-4.21753407	-1.00816584	0	0	negotiate	goto	A lot of doctors negotiated.	A lot of doctors go to.
28	124	87_vos_ng_ac_d_no	1.9	21	-5.76856852	-6.96040344	1.19183493	1	0	fall	resemble	Some cup falls apart.	Some cup resembles.
29	79	87_vos_ng_ac_d_no	1.9	89	-5.22863150	-5.56018829	0.33155680	1	0	change	fire	The Borgias won't change.	The Borgias won't fire.
30	163	87_vos_ng_ac_d_no	1.9	41	-5.34591198	-5.77005434	0.42414236	1	0	wakeup	returnto	Kimberley wakes up.	Kimberley returned to.
31	67	87_vos_ng_ac_d_no	1.9	79	-5.19695997	-5.69089842	0.49393845	1	0	smile	dropby	Wayne is smiling.	Wayne is dropping by.
32	46	87_vos_ng_ac_d_no	1.9	148	-8.11193657	-6.48479414	-1.62714243	0	0	negotiate	talkabout	Some legislatures negotiated.	Some legislatures talk about.
