pair_index	id	language	phenomenon_id	good_score	bad_score	delta	correct	tie	good	bad
1	1			-5.88763189	-6.47818565	0.59055376	1	0	Diane watched Alan.	Diane screamed Alan.
2	2			-6.87746716	-7.00249624	0.12502909	1	0	This cousin of Theodore buys some mushroom.	This cousin of Theodore wept some mushroom.
3	3			-6.86112499	-7.07285595	0.21173096	1	0	Rhonda was arguing about this nephew of Dana.	Rhonda was going fishing this nephew of Dana.
4	4			-6.82718182	-6.86948538	0.04230356	1	0	A lot of actresses' nieces have toured that art gallery.	A lot of actresses' nieces have coped that art gallery.
5	5			-7.26297665	-7.23822546	-0.02475119	0	0	Debra wears many skirts.	Debra slumps over many skirts.
6	6			-6.53749132	-6.57625341	0.03876209	1	0	Chad's daughters embarrasses Erin's girlfriend.	Chad's daughters screamed Erin's girlfriend.
7	7			-7.00155020	-6.99021769	-0.01133251	0	0	Elaine criticized Jill.	Elaine shrugs Jill.
8	8			-6.23136377	-6.23028469	-0.00107908	0	0	The pedestrians question some people.	The pedestrians wave some people.
9	9			-5.04996729	-5.89597178	0.84600449	1	0	Vanessa has gone to a lot of college campuses.	Vanessa has smiled a lot of college campuses.
10	10			-6.62797928	-7.84850883	1.22052956	1	0	Those committees listened to Kristen.	Those committees react Kristen.
11	11			-5.99565697	-6.49958086	0.50392389	1	0	Most pedestrians' father might climb up the slope.	Most pedestrians' father might murmur the slope.
12	12			-5.62753105	-5.50256205	-0.12496901	0	0	Theresa shouldn't scan this essay.	Theresa shouldn't murmur this essay.
13	13			-7.05464697	-7.18774366	0.13309669	1	0	Andrea's ex-husbands toured this art gallery.	Andrea's ex-husbands cry this art gallery.
14	14			-5.30988073	-5.28806686	-0.02181387	0	0	A lot of girls' son hadn't insulted Jerry.	A lot of girls' son hadn't sighed Jerry.
15	15			-6.01440001	-6.26470184	0.25030184	1	0	Denise has escaped from Marie's grandsons.	Denise has fallen Marie's grandsons.
16	16			-4.67999697	-5.07861090	0.39861393	1	0	Grace is investigating a lot of girls' ex-wife.	Grace is going fishing a lot of girls' ex-wife.
17	17			-4.89325523	-5.97773170	1.08447647	1	0	Donna talked about Anna's friends.	Donna replies Anna's friends.
18	18			-6.98999405	-6.44939280	-0.54060125	0	0	Many sisters of some guest forget Eva.	Many sisters of some guest murmured Eva.
19	19			-5.33203983	-4.72484064	-0.60719919	0	0	The truck hadn't astounded a bank.	The truck hadn't fallen a bank.
20	20			-7.25433350	-7.26089048	0.00655699	1	0	April's mentees weren't kissing Matt's nephews.	April's mentees weren't chuckling Matt's nephews.
21	21			-7.26398897	-7.61623812	0.35224915	1	0	Phillip isn't observing Winston Churchill.	Phillip isn't grinning Winston Churchill.
22	22			-5.86115026	-5.54608917	-0.31506109	0	0	Bill explores the bank.	Bill wept the bank.
23	23			-7.21211481	-7.36342716	0.15131235	1	0	These grandmothers of Rebecca remembered Angela.	These grandmothers of Rebecca flirted Angela.
24	24			-7.60655928	-8.21707630	0.61051702	1	0	Many universities describe Samantha.	Many universities reacted Samantha.
25	25			-5.30097389	-5.76511097	0.46413708	1	0	A lot of grandmothers of Melanie go to the mall.	A lot of grandmothers of Melanie murmured the mall.
26	26			-6.83028555	-7.18644619	0.35616064	1	0	Stacy's cousins haven't scanned many drivers' oncologists.	Stacy's cousins haven't concurred many drivers' oncologists.
27	27			-6.43431425	-6.07810402	-0.35621023	0	0	Ella's tutor can't fire every adult.	Ella's tutor can't talk every adult.
28	28			-7.87809849	-7.22982025	-0.64827824	0	0	Christopher researched most public parks.	Christopher suffered most public parks.
29	29			-6.74278259	-6.51742887	-0.22535372	0	0	Melinda explores those closets.	Melinda slumped over those closets.
30	30			-5.78663111	-5.26053667	-0.52609444	0	0	Some mother of Diane wasn't distracting a lot of students' ex-girlfriends.	Some mother of Diane wasn't coming here a lot of students' ex-girlfriends.
31	31			-5.54916286	-5.52026081	-0.02890205	0	0	Robert hasn't escaped from Brenda.	Robert hasn't talked Brenda.
32	32			-5.07905340	-5.53888226	0.45982885	1	0	Marcus wasn't running around that high school.	Marcus wasn't smiling that high school.
33	33			-6.83506870	-6.82155657	-0.01351213	0	0	Monet hadn't examined most commentaries.	Monet hadn't wept most commentaries.
34	34			-7.33855867	-8.63512135	1.29656267	1	0	Many actresses escape from Cynthia.	Many actresses weep Cynthia.
35	35			-5.66206169	-5.51368332	-0.14837837	0	0	Amy's cousins distracts a lot of women.	Amy's cousins reply a lot of women.
36	36			-6.82859707	-6.60763025	-0.22096682	0	0	Many senators' niece admires Brian's ex-husband.	Many senators' niece chuckled Brian's ex-husband.
37	37			-4.36633158	-4.44502497	0.07869339	1	0	Carmen's father isn't cleaning a lot of cups.	Carmen's father isn't waving a lot of cups.
38	38			-5.66818047	-6.27184963	0.60366917	1	0	Rose couldn't like Liam's employees.	Rose couldn't go fishing Liam's employees.
39	39			-5.51376867	-6.06213474	0.54836607	1	0	Daniel's ex-husband resembles a lot of prints of actresses.	Daniel's ex-husband compromises a lot of prints of actresses.
40	40			-6.53173590	-6.68925571	0.15751982	1	0	Heidi sells every banana.	Heidi sighed every banana.
41	41			-6.89265251	-6.40075016	-0.49190235	0	0	Phillip's senators alarm the driver.	Phillip's senators shouted the driver.
42	42			-6.00422001	-6.61183834	0.60761833	1	0	The actress can notice every student.	The actress can weep every student.
43	43			-6.07342577	-6.78156042	0.70813465	1	0	The mothers of Kimberley think about all universities.	The mothers of Kimberley sighed all universities.
44	44			-8.19161797	-7.93853617	-0.25308180	0	0	The Clintons heal Kimberley.	The Clintons retaliated Kimberley.
45	45			-6.87593699	-7.32051086	0.44457388	1	0	Most schools hurt Marcus.	Most schools fall Marcus.
46	46			-6.68474531	-7.39853334	0.71378803	1	0	Phillip knows Jill's senator.	Phillip reacts Jill's senator.
47	47			-7.17165756	-6.92730474	-0.24435282	0	0	Sabrina was criticizing Jennifer.	Sabrina was falling Jennifer.
