pair_index	id	language	phenomenon_id	good_score	bad_score	delta	correct	tie	good	bad
1	1			-6.10147142	-4.79898739	-1.30248404	0	0	Todd can't yawn.	Todd can't walk through.
2	2			-5.04295349	-5.95106125	0.90810776	1	0	Some guests hadn't left.	Some guests hadn't boasted about.
3	3			-5.74337387	-6.51400852	0.77063465	1	0	Regina is shouting.	Regina is boasting about.
4	4			-6.46639729	-6.52233458	0.05593729	1	0	This guest's plumber complains.	This guest's plumber wore.
5	5			-6.47733116	-5.83545780	-0.64187336	0	0	Anna's grandmothers aren't benefiting.	Anna's grandmothers aren't arguing about.
6	6			-5.95221615	-5.59832335	-0.35389280	0	0	Some glaciers are vaporizing.	Some glaciers are scaring.
7	7			-5.93401289	-6.59823704	0.66422415	1	0	Stephanie succeeds.	Stephanie boasts about.
8	8			-6.66774511	-6.48299456	-0.18475056	0	0	Tara's contractors scream.	Tara's contractors drive to.
9	9			-6.42618990	-5.50370836	-0.92248154	0	0	All gloves weren't crumpling.	All gloves weren't looking like.
10	10			-5.25942230	-4.90392256	-0.35549974	0	0	Patricia's hairdressers hadn't cooked.	Patricia's hairdressers hadn't gone to.
11	11			-4.77632761	-4.63421249	-0.14211512	0	0	The muffins were scorching.	The muffins were scaring.
12	12			-5.81333447	-5.32014894	-0.49318552	0	0	Those friends of Sally were painting.	Those friends of Sally were walking through.
13	13			-6.58052349	-6.73588943	0.15536594	1	0	This screen does brighten.	This screen does resemble.
14	14			-8.06549072	-7.42348671	-0.64200401	0	0	Danielle's podiatrists were succeeding.	Danielle's podiatrists were scaring.
15	15			-5.60313416	-4.52933025	-1.07380390	0	0	A lot of cashiers should collaborate.	A lot of cashiers should go to.
16	16			-5.91328669	-6.44830704	0.53502035	1	0	The pepper blackened.	The pepper resembles.
17	17			-6.42375946	-6.39083481	-0.03292465	0	0	Guy's French teachers die.	Guy's French teachers arrived at.
18	18			-6.53370237	-6.22144604	-0.31225634	0	0	This shirt crumples.	This shirt scares.
19	19			-5.76857758	-6.96041107	1.19183350	1	0	Some cup falls apart.	Some cup resembles.
20	20			-7.00053549	-6.28379345	-0.71674204	0	0	All grandmothers of Bill hadn't clashed.	All grandmothers of Bill hadn't arrived at.
21	21			-6.35252810	-5.70170069	-0.65082741	0	0	Some convertible is chipping.	Some convertible is scaring.
22	22			-6.34825563	-6.34563351	-0.00262213	0	0	These grandfathers of Ella cooperated.	These grandfathers of Ella boast about.
23	23			-7.01698303	-6.40780878	-0.60917425	0	0	Most spotlights had dimmed.	Most spotlights had looked like.
24	24			-6.54561138	-7.09783077	0.55221939	1	0	Keith learns.	Keith disliked.
25	25			-5.76026487	-5.75411463	-0.00615025	0	0	Andrea has donated.	Andrea has concealed.
26	26			-6.20084572	-6.46523476	0.26438904	1	0	Some sisters of Laurie weren't hunting.	Some sisters of Laurie weren't examining.
27	27			-6.12073135	-5.07201719	-1.04871416	0	0	Brian argued.	Brian looked like.
28	28			-6.43046188	-6.46605539	0.03559351	1	0	Many teachers embrace.	Many teachers respected.
29	29			-6.93565273	-6.57249165	-0.36316109	0	0	Larry departs.	Larry cured.
30	30			-5.73033333	-6.07424068	0.34390736	1	0	The waitresses haven't fallen asleep.	The waitresses haven't concealed.
31	31			-5.07416439	-5.25170231	0.17753792	1	0	Bethany murmured.	Bethany goes to.
32	32			-6.92257357	-6.12666416	-0.79590940	0	0	Some wheelbarrow shattered.	Some wheelbarrow looked like.
33	33			-6.09457064	-6.00443268	-0.09013796	0	0	The dancer's daughters lie.	The dancer's daughters examined.
34	34			-4.95762491	-4.97561646	0.01799154	1	0	The companies haven't competed.	The companies haven't concealed.
35	35			-5.34591770	-5.77006102	0.42414331	1	0	Kimberley wakes up.	Kimberley returned to.
36	36			-5.49055624	-5.73142672	0.24087048	1	0	Some people's tutors were kissing.	Some people's tutors were examining.
37	37			-5.77967072	-5.28836107	-0.49130964	0	0	Nicole concurred.	Nicole cared for.
38	38			-5.72672272	-5.65987158	-0.06685114	0	0	The student has blinked.	The student has boasted about.
39	39			-4.83684063	-5.19415236	0.35731173	1	0	Donna shouldn't die.	Donna shouldn't argue about.
40	40			-5.11525440	-6.11910343	1.00384903	1	0	Lori plays.	Lori cured.
41	41			-5.46755457	-5.91171169	0.44415712	1	0	A son of Andrea answered.	A son of Andrea reveals.
42	42			-5.88530588	-5.48511362	-0.40019226	0	0	Most organizations couldn't debate.	Most organizations couldn't respect.
43	43			-6.06380987	-6.03566647	-0.02814341	0	0	Helen's associates assemble.	Helen's associates disliked.
44	44			-6.72353315	-5.85221386	-0.87131929	0	0	Alice littered.	Alice escaped from.
45	45			-6.64426136	-6.19292879	-0.45133257	0	0	Robert's ex-wives donate.	Robert's ex-wives drive to.
46	46			-5.22571039	-4.21754646	-1.00816393	0	0	A lot of doctors negotiated.	A lot of doctors go to.
47	47			-6.84027100	-7.22451639	0.38424540	1	0	That pepper rotted.	That pepper resembles.
48	48			-5.61093235	-5.70927048	0.09833813	1	0	A child's tutor is protesting.	A child's tutor is concealing.
49	49			-5.45979595	-4.75488329	-0.70491266	0	0	The lamps hadn't darkened.	The lamps hadn't looked like.
50	50			-5.90709972	-4.95766687	-0.94943285	0	0	Many adults drink.	Many adults go to.
51	51			-5.38727999	-6.43606091	1.04878092	1	0	Kimberley does sit down.	Kimberley does arrive at.
52	52			-5.36716127	-5.50035286	0.13319159	1	0	The Borgias won't lie.	The Borgias won't complain about.
53	53			-4.24734879	-4.37567186	0.12832308	1	0	A lot of teachers had moved.	A lot of teachers had listened to.
54	54			-5.51439667	-5.64790726	0.13351059	1	0	Jennifer washes.	Jennifer talks about.
55	55			-5.54993677	-5.83994913	0.29001236	1	0	Some nephews of Jodi hadn't murmured.	Some nephews of Jodi hadn't examined.
56	56			-5.00999689	-4.51923895	-0.49075794	0	0	Robert has saluted.	Robert has gone to.
57	57			-6.05282164	-4.70217085	-1.35065079	0	0	This shirt wasn't warping.	This shirt wasn't scaring.
58	58			-5.12653160	-5.32419348	0.19766188	1	0	This hamster isn't waking up.	This hamster isn't scaring.
59	59			-4.96821499	-4.41340208	-0.55481291	0	0	Karen isn't answering.	Karen isn't talking about.
60	60			-5.19130564	-5.16604519	-0.02526045	0	0	A lot of hats tighten.	A lot of hats resembled.
61	61			-5.92388582	-5.58609200	-0.33779383	0	0	Andrea's nephews have replied.	Andrea's nephews have arrived at.
62	62			-8.39436722	-8.07934380	-0.31502342	0	0	That spinach charred.	That spinach resembles.
63	63			-5.86359930	-6.18635845	0.32275915	1	0	Matt's ex-boyfriend stands up.	Matt's ex-boyfriend arrived at.
64	64			-6.32290792	-6.72256756	0.39965963	1	0	Many shoes crumpled.	Many shoes resembled.
65	65			-6.96952248	-6.83106995	-0.13845253	0	0	Many bicycles should steer.	Many bicycles should scare.
66	66			-7.44043303	-6.81662750	-0.62380552	0	0	Some grandmothers of Vincent have blinked.	Some grandmothers of Vincent have listened to.
67	67			-5.84428167	-6.26099396	0.41671228	1	0	Anna's cousins might smile.	Anna's cousins might admire.
68	68			-6.62454224	-6.61832285	-0.00621939	0	0	This screen darkened.	This screen scares.
69	69			-6.50269699	-5.14111376	-1.36158323	0	0	A closet flung open.	A closet looks like.
70	70			-5.19696569	-5.69090366	0.49393797	1	0	Wayne is smiling.	Wayne is dropping by.
71	71			-5.78047180	-6.00948858	0.22901678	1	0	Beverly does cough.	Beverly does lift.
72	72			-4.57755995	-4.27982855	-0.29773140	0	0	Grace hasn't hunted.	Grace hasn't talked about.
73	73			-4.74156618	-5.21599579	0.47442961	1	0	Tracy is sighing.	Tracy is complaining about.
74	74			-5.51819229	-5.46506739	-0.05312490	0	0	Teachers hadn't surrendered.	Teachers hadn't lifted.
75	75			-5.12430429	-5.61659336	0.49228907	1	0	The guests did meet.	The guests did argue about.
76	76			-5.66336393	-5.45023727	-0.21312666	0	0	Frank's cousins had conspired.	Frank's cousins had returned to.
77	77			-6.22502804	-4.97827625	-1.24675179	0	0	Some tomatoes aren't charring.	Some tomatoes aren't looking like.
78	78			-7.02393675	-6.03617620	-0.98776054	0	0	Some skateboard should steer.	Some skateboard should look like.
79	79			-5.22863293	-5.56018972	0.33155680	1	0	The Borgias won't change.	The Borgias won't fire.
80	80			-6.81620216	-7.02429819	0.20809603	1	0	A cousin of some waitresses would hide away.	A cousin of some waitresses would fire.
81	81			-7.15461731	-6.35515785	-0.79945946	0	0	Jason's supervisors hadn't struggled.	Jason's supervisors hadn't looked like.
82	82			-4.80861330	-4.65774965	-0.15086365	0	0	Kirsten was answering.	Kirsten was listening to.
83	83			-6.92394066	-6.24180031	-0.68214035	0	0	Some wheelbarrows are slowing.	Some wheelbarrows are scaring.
84	84			-5.41281605	-5.32814503	-0.08467102	0	0	These drivers hadn't wasted away.	These drivers hadn't worked with.
85	85			-5.13985157	-4.62390184	-0.51594973	0	0	This bike is existing.	This bike is scaring.
86	86			-6.22911263	-6.29088497	0.06177235	1	0	The actor's employee murmurs.	The actor's employee boasts about.
87	87			-7.23581076	-6.05226278	-1.18354797	0	0	Those actresses stretch.	Those actresses look like.
88	88			-5.80115366	-5.06160784	-0.73954582	0	0	This plane chipped.	This plane looked like.
89	89			-4.32728052	-5.32693815	0.99965763	1	0	Wendy hadn't seen.	Wendy hadn't boasted about.
90	90			-5.33902359	-5.87302542	0.53400183	1	0	Maria was complaining.	Maria was concealing.
91	91			-6.04677582	-4.60456753	-1.44220829	0	0	Those governments were coping.	Those governments were talking about.
92	92			-5.49764347	-6.37805939	0.88041592	1	0	Some mother of Caroline is yawning.	Some mother of Caroline is arriving at.
93	93			-5.17410803	-5.21359062	0.03948259	1	0	Julie replies.	Julie complained about.
94	94			-5.55023003	-5.41376114	-0.13646889	0	0	Candice's students haven't practiced.	Candice's students haven't cared for.
95	95			-6.20960617	-6.27934361	0.06973743	1	0	Some eyes flung open.	Some eyes resemble.
96	96			-5.48608828	-4.79735756	-0.68873072	0	0	Katherine won't yawn.	Katherine won't drive to.
97	97			-5.49523306	-5.93085241	0.43561935	1	0	The Impressionists have changed.	The Impressionists have dropped by.
98	98			-6.51128817	-5.85441971	-0.65686846	0	0	Some son of Nancy stretched.	Some son of Nancy talked about.
99	99			-6.69178963	-5.45761013	-1.23417950	0	0	Most shoes do crumple.	Most shoes do look like.
100	100			-5.90120363	-6.21879053	0.31758690	1	0	Deborah had wept.	Deborah had concealed.
101	101			-5.71952248	-5.42014551	-0.29937696	0	0	Sarah's brother exists.	Sarah's brother sounds like.
102	102			-5.46492863	-6.16067934	0.69575071	1	0	The blouses can flatten.	The blouses can resemble.
103	103			-5.98478889	-5.05711126	-0.92767763	0	0	Aaron talked.	Aaron went to.
104	104			-5.42359924	-5.40802813	-0.01557112	0	0	Christine's friends will interact.	Christine's friends will conceal.
105	105			-5.74972820	-5.05656385	-0.69316435	0	0	Those doors shut.	Those doors look like.
106	106			-5.20775175	-5.83182526	0.62407351	1	0	Those daughters of Pamela wouldn't sit down.	Those daughters of Pamela wouldn't dislike.
107	107			-4.92092371	-4.73018742	-0.19073629	0	0	Andrea was muttering.	Andrea was looking like.
108	108			-6.32978153	-5.73609304	-0.59368849	0	0	That closet opens.	That closet looked like.
109	109			-6.66728449	-6.10820246	-0.55908203	0	0	Most actors boast.	Most actors drive to.
110	110			-7.12554836	-7.06629801	-0.05925035	0	0	Some banks confer.	Some banks reference.
111	111			-7.68871450	-7.26836872	-0.42034578	0	0	Some student's podiatrists had succeeded.	Some student's podiatrists had gone to.
112	112			-5.38586426	-4.32412529	-1.06173897	0	0	The plane slowed.	The plane looks like.
113	113			-6.15317583	-6.96591234	0.81273651	1	0	That grandmother of Anne sits down.	That grandmother of Anne complains about.
114	114			-5.72296906	-5.35760355	-0.36536551	0	0	The lakes would vaporize.	The lakes would scare.
115	115			-4.95332336	-5.33883095	0.38550758	1	0	This museum was fighting.	This museum was firing.
116	116			-5.68385220	-6.56809473	0.88424253	1	0	Most tomatoes hadn't wasted away.	Most tomatoes hadn't resembled.
117	117			-6.71640444	-6.92116928	0.20476484	1	0	Those blouses soaked.	Those blouses resemble.
118	118			-6.11597109	-5.97415304	-0.14181805	0	0	Ruth's dentists haven't kissed.	Ruth's dentists haven't admired.
119	119			-7.39636517	-8.07934380	0.68297863	1	0	That spinach burns.	That spinach resembles.
120	120			-4.46264076	-4.89658689	0.43394613	1	0	Alexander hasn't woken up.	Alexander hasn't talked to.
121	121			-5.69235086	-5.74630356	0.05395269	1	0	Stacy has whispered.	Stacy has concealed.
122	122			-5.07157373	-4.35881138	-0.71276236	0	0	The bank hadn't debated.	The bank hadn't looked like.
123	123			-5.99814177	-6.15935040	0.16120863	1	0	A shoe frayed.	A shoe resembles.
124	124			-6.44319820	-7.00996637	0.56676817	1	0	Marcus's plumbers fall asleep.	Marcus's plumbers scare.
125	125			-7.16996622	-6.63515949	-0.53480673	0	0	All actors yell.	All actors fire.
126	126			-5.99659872	-6.23119020	0.23459148	1	0	Pamela's classmate wasn't sighing.	Pamela's classmate wasn't concealing.
127	127			-5.56583071	-5.30966902	-0.25616169	0	0	Many girls worry.	Many girls walked through.
128	128			-8.11194229	-6.48480082	-1.62714148	0	0	Some legislatures negotiated.	Some legislatures talk about.
129	129			-5.96756554	-4.72039747	-1.24716806	0	0	This candle won't brighten.	This candle won't look like.
130	130			-5.06588936	-5.97350883	0.90761948	1	0	Claire had performed.	Claire had biked to.
131	131			-5.35863876	-5.65343475	0.29479599	1	0	Every patient isn't practicing.	Every patient isn't revealing.
132	132			-6.42207479	-6.88932371	0.46724892	1	0	A skateboard shattered.	A skateboard resembled.
133	133			-5.88891220	-6.19919491	0.31028271	1	0	These lights dimmed.	These lights scare.
134	134			-5.39031458	-6.45729017	1.06697559	1	0	Michael isn't blinking.	Michael isn't biking to.
135	135			-5.94187546	-5.70591545	-0.23596001	0	0	Timothy's doctors were spinning around.	Timothy's doctors were scaring.
136	136			-5.77322578	-5.73401022	-0.03921556	0	0	Some mouth will shut.	Some mouth will scare.
137	137			-4.76597309	-6.16676998	1.40079689	1	0	Mary is lying.	Mary is curing.
138	138			-8.29838085	-7.31094122	-0.98743963	0	0	Every cart had maneuvered.	Every cart had resembled.
139	139			-7.27967548	-7.11503744	-0.16463804	0	0	Most scarves did wrinkle.	Most scarves did resemble.
140	140			-5.57363558	-5.60520458	0.03156900	1	0	Phillip has suffered.	Phillip has returned to.
141	141			-6.37269735	-5.91935396	-0.45334339	0	0	Tammy compromised.	Tammy complained about.
142	142			-6.86161613	-6.86117268	-0.00044346	0	0	Erin's dermatologists have divorced.	Erin's dermatologists have concealed.
143	143			-5.95900345	-6.83759975	0.87859631	1	0	This sock shrinks.	This sock resembled.
144	144			-5.68224382	-5.14452219	-0.53772163	0	0	The ice cream did condense.	The ice cream did scare.
145	145			-6.71918011	-6.81144381	0.09226370	1	0	Dawn's oncologists had worried.	Dawn's oncologists had boasted about.
146	146			-4.46524429	-4.42235374	-0.04289055	0	0	The eye is closing.	The eye is looking like.
147	147			-6.58335304	-5.87398529	-0.70936775	0	0	Tanya's ex-husbands might sigh.	Tanya's ex-husbands might talk about.
148	148			-6.66351080	-6.17083311	-0.49267769	0	0	Many nieces of Bruce are laughing.	Many nieces of Bruce are going to.
149	149			-5.93520308	-6.05866432	0.12346125	1	0	Carmen's electricians haven't swallowed.	Carmen's electricians haven't argued about.
150	150			-6.71174192	-6.36045074	-0.35129118	0	0	Veronica does shout.	Veronica does drive to.
151	151			-5.46511126	-5.72011805	0.25500679	1	0	Alicia salutes.	Alicia boasted about.
152	152			-4.59170532	-4.88465500	0.29294968	1	0	Cindy has murmured.	Cindy has scared.
153	153			-6.05957460	-6.84811735	0.78854275	1	0	Stephen's associate had seen.	Stephen's associate had lifted.
154	154			-4.92548847	-5.16040325	0.23491478	1	0	A lot of lights dimmed.	A lot of lights resembled.
155	155			-6.13388634	-5.63633299	-0.49755335	0	0	Linda's senators had reacted.	Linda's senators had fired.
156	156			-5.93840837	-6.02632427	0.08791590	1	0	Most icicles were evaporating.	Most icicles were scaring.
157	157			-5.16093254	-5.62589884	0.46496630	1	0	Wendy trains.	Wendy respected.
158	158			-4.99721813	-5.42528439	0.42806625	1	0	Candice isn't hunting.	Candice isn't dropping by.
159	159			-6.19521093	-6.83485556	0.63964462	1	0	The spinach exists.	The spinach resembled.
160	160			-7.07585621	-7.06785440	-0.00800180	0	0	Some unicycles had steered.	Some unicycles had scared.
161	161			-5.89607334	-5.67558098	-0.22049236	0	0	Marla's ex-girlfriends vanish.	Marla's ex-girlfriends talked to.
162	162			-6.41305351	-6.76342630	0.35037279	1	0	Jerry's bosses argue.	Jerry's bosses arrive at.
163	163			-4.80184937	-5.79892826	0.99707890	1	0	Nicole's sons will wake up.	Nicole's sons will dislike.
164	164			-6.61000299	-5.70436239	-0.90564060	0	0	Some scarf dries.	Some scarf looks like.
165	165			-5.58437109	-5.72043371	0.13606262	1	0	Rose isn't existing.	Rose isn't concealing.
166	166			-6.64796448	-6.63872910	-0.00923538	0	0	Those shirts shrink.	Those shirts scare.
167	167			-5.16548920	-4.65243959	-0.51304960	0	0	Tracy will depart.	Tracy will talk to.
168	168			-6.25565958	-5.88271570	-0.37294388	0	0	Kathleen can nod.	Kathleen can fire.
169	169			-4.22081041	-4.36232853	0.14151812	1	0	A lot of boys can cook.	A lot of boys can find.
170	170			-4.97750092	-5.02908754	0.05158663	1	0	A lot of committees hadn't surrendered.	A lot of committees hadn't admired.
171	171			-5.10330963	-5.20509434	0.10178471	1	0	Lori hadn't wasted away.	Lori hadn't revealed.
172	172			-5.15524054	-4.90489864	-0.25034189	0	0	That book had vanished.	That book had looked like.
173	173			-5.64500904	-5.37340021	-0.27160883	0	0	Michael will bake.	Michael will argue about.
174	174			-6.49858284	-5.91042328	-0.58815956	0	0	William's ex-wives communicate.	William's ex-wives returned to.
175	175			-5.70312214	-6.03343344	0.33031130	1	0	Aaron has hunted.	Aaron has lifted.
176	176			-6.37908459	-7.16687679	0.78779221	1	0	Charles's dermatologist chuckles.	Charles's dermatologist wore.
177	177			-5.64738178	-4.84399939	-0.80338240	0	0	This computer cracked.	This computer looks like.
178	178			-6.55230856	-6.85919380	0.30688524	1	0	The Borgias' daughters fall asleep.	The Borgias' daughters lifted.
179	179			-5.74221373	-6.07214022	0.32992649	1	0	This university hadn't replied.	This university hadn't referenced.
180	180			-6.54072809	-6.39645338	-0.14427471	0	0	The universities donated.	The universities scared.
181	181			-5.14139080	-5.30023861	0.15884781	1	0	A closet couldn't close.	A closet couldn't scare.
182	182			-5.70651340	-5.68445158	-0.02206182	0	0	That lady whispers.	That lady cares for.
183	183			-7.07284689	-6.72213173	-0.35071516	0	0	All granddaughters of the Clintons have dated.	All granddaughters of the Clintons have found.
184	184			-5.90740395	-6.14344883	0.23604488	1	0	Rodney's sons explain everything.	Rodney's sons respected.
185	185			-5.52304029	-5.24051809	-0.28252220	0	0	The cart can't rust.	The cart can't resemble.
186	186			-5.81028700	-5.81901741	0.00873041	1	0	Janet writes.	Janet fires.
187	187			-6.37092829	-5.31027222	-1.06065607	0	0	The pepper ripened.	The pepper looked like.
188	188			-4.91281796	-7.46310425	2.55028629	1	0	Jennifer sat down.	Jennifer disagrees with.
189	189			-6.42128134	-6.54376745	0.12248611	1	0	Many patients argued.	Many patients resembled.
190	190			-6.93113995	-6.43083954	-0.50030041	0	0	Legislatures were assembling.	Legislatures were working with.
191	191			-5.36145878	-5.25785923	-0.10359955	0	0	A lot of unicycles are rolling.	A lot of unicycles are scaring.
192	192			-7.61199427	-8.00197029	0.38997602	1	0	Rachel's mentors were succeeding.	Rachel's mentors were biking to.
193	193			-5.84078741	-6.64883661	0.80804920	1	0	Craig fell asleep.	Craig sounded like.
194	194			-6.19698381	-6.54243565	0.34545183	1	0	A wheelbarrow rolled.	A wheelbarrow resembled.
195	195			-4.79019403	-5.04969454	0.25950050	1	0	Holly was muttering.	Holly was dropping by.
196	196			-4.16099405	-4.49670362	0.33570957	1	0	The people wouldn't reply.	The people wouldn't conceal.
197	197			-5.83594990	-6.18375063	0.34780073	1	0	Melissa's nieces could respond.	Melissa's nieces could flee from.
198	198			-5.57231188	-5.20618677	-0.36612511	0	0	Many guys had sighed.	Many guys had arrived at.
199	199			-4.65597200	-5.31591797	0.65994596	1	0	Eric can't write.	Eric can't drop by.
200	200			-7.42708588	-7.25275135	-0.17433453	0	0	Every carriage accelerated.	Every carriage resembled.
